name,address,latitude,longitude
金沢市立米丸小学校,金沢市東力町ニ155番地,36.56565859,136.6200031
金沢市西部市民憩いの家,金沢市東力町ハ256番地,36.56320154,136.6192869
金沢市営西部市民体育会館,金沢市東力町ハ250番地,36.56299041,136.6198448
金沢市米丸公民館,金沢市間明町２丁目72番地,36.56512302,136.618287
あすなろの森,金沢市東力４丁目90番地,36.56283185,136.6238038
玉鉾公園,金沢市玉鉾２丁目361番地,36.57353748,136.622811
高畠第２児童公園,金沢市高畠１丁目328番地,36.57081556,136.6130908
黒田児童公園,金沢市黒田１丁目９番地,36.56129656,136.6155789
伏見川中央公園,金沢市東力町ハ273番地,36.56305622,136.6181174
米丸中央公園,金沢市高畠１丁目382番地ほか,36.57035583,136.6164172
保古東公園,金沢市保古１丁目120番地,36.55819689,136.6214174
米丸交流広場,金沢市東力町ハ284番地,36.56147712,136.6179527
金沢市立新神田小学校,金沢市新神田１丁目10番58号,36.56499942,136.6347753
金沢市立高岡中学校,金沢市新神田１丁目10番１号,36.56543712,136.635691
金沢市新神田公民館,金沢市新神田１丁目１番18号,36.56397337,136.6356117
糸田第２児童公園,金沢市糸田２丁目207番地,36.5593155,136.6230302
神田交通公園,金沢市新神田３丁目113番地,36.56116657,136.6305076
入江第１児童公園,金沢市入江２丁目250番地,36.56633,136.62682
金沢市立押野小学校,金沢市八日市１丁目175番地,36.545862,136.609351
金沢市押野公民館,金沢市八日市２丁目464番地,36.54604761,136.6085786
押野松の木公園,金沢市押野３丁目525番地,36.54799435,136.6136282
八日市アメリカフウ児童公園,金沢市八日市５丁目296番地,36.54777842,136.6098932
八日市ケヤキ児童公園,金沢市八日市５丁目455番地,36.55063129,136.6098579
八日市住吉中央公園,金沢市八日市２丁目608番地,36.54362083,136.6084583
金沢市立西南部小学校,金沢市八日市出町304番地,36.55584761,136.6082487
金沢市立西南部中学校,金沢市新保本１丁目149番地,36.55276413,136.6062103
